Species,AdultWeight,ML,FTM,MLres,FTMres
Gallus_gallus,779.8,30,,,
Ornithorhynchus_anatinus,1250,22.6,548,1.5555,1.4931
Monodelphis_domestica,105,5.1,122,0.5128,0.569
Petaurus_breviceps,129.3,17.8,236,1.7335,1.0521
Suncus_murinus,39.7,3.2,36,0.3733,0.2074
Erinaceus_europaeus,1213.5,11.7,253,0.8089,0.6938
Sus_scrofa,135000,27,334,0.9078,0.3295
Balaena_mysticetus,100000000,211,8212,2.5814,1.9311
Balaenoptera_acutorostrata_scammoni,7500000,50,2740,0.9092,1.1303
Capra_hircus,61000,20.8,406,0.7897,0.4758
Bos_taurus,548500,20,548,0.5426,0.3988
Bos_mutus,667000,26.3,738,0.6925,0.5147
Tadarida_brasiliensis,13.3,12,273,1.6551,1.9936
Murina_leucogaster,12.8,9,180,1.2493,1.3266
Myotis_brandtii,7,41,,6.2383,
Equus_caballus,300000,57,914,1.6961,0.7582
Felis_catus,3900,30,289,1.7349,0.6152
Canis_familiaris,10148.9,21.8,274,1.0891,0.4739
Ursus_americanus,154250,34,1278,1.1201,1.2247
Meles_meles,11050,18.6,365,0.9172,0.6198
Oryctolagus_cuniculus,2167.9,9,730,0.5694,1.765
Tupaia_belangeri,200,11.1,90,1.0112,0.365
Chlorocebus_aethiops,5620,30.8,1034,1.6843,2.0332
Papio_anubis,18000,37.5,1514,1.7161,2.3125
Macaca_fascicularis,6362.5,39,1238,2.0926,2.3696
Macaca_mulatta,8235,40,1231,2.0632,2.228
Pongo_abelii,64475,59,2555,2.2212,2.9587
Gorilla_gorilla,139842,55.4,2829,1.8527,2.7694
Homo_sapiens,62035,122.5,4745,4.6392,5.5409
Pan_paniscus,39925,55,3194,2.2282,4.1041
Pan_troglodytes,44983.5,59.4,3376,2.3629,4.2271
Cavia_porcellus,639.1,12,66,0.9152,0.208
Fukomys_damarensis,131.3,15.5,511,1.506,2.2704
Heterocephalus_glaber,35.3,31,228,3.6824,1.3472
Tamias_sibiricus,89.6,9.5,187,0.9786,0.9027
Castor_canadensis,20250,23.4,639,1.0518,0.9514
Peromyscus_leucopus,22.3,7.9,73,1.0067,0.4765
Mesocricetus_auratus,108.2,3.9,48,0.3903,0.2224
Meriones_unguiculatus,64.8,6.3,43,0.6819,0.2227
Acomys_cahirinus,42,5.9,58,0.6825,0.33
Rattus_norvegicus,117,4.2,90,0.4153,0.41
Mus_musculus,18,4,42,0.5267,0.2872
